Date,Open,Close,High,Low,Volume
19-Mar-18,1554.530029,1544.930054,1561.660034,1525.349976,6580800
20-Mar-18,1550.339966,1586.51001,1587,1545.410034,4581600
21-Mar-18,1586.449951,1581.859985,1590,1563.170044,4750800
22-Mar-18,1565.469971,1544.920044,1573.849976,1542.400024,6320600
23-Mar-18,1539.01001,1495.560059,1549.02002,1495.359985,8006000
26-Mar-18,1530,1555.859985,1556.98999,1499.25,5624700
27-Mar-18,1572.400024,1497.050049,1575.969971,1482.319946,6999600
28-Mar-18,1447,1431.420044,1455.900024,1386.170044,13705300
29-Mar-18,1406,1447.339966,1455.469971,1365.199951,12581100
2-Apr-18,1417.619995,1371.98999,1421.359985,1355,10463600
3-Apr-18,1391.380005,1392.050049,1414,1355.329956,10231200
4-Apr-18,1358.23999,1410.569946,1415.390015,1352.880005,6982300
5-Apr-18,1441.98999,1451.75,1459.560059,1427.069946,6413500
6-Apr-18,1429.969971,1405.22998,1452.5,1400.26001,5882300
9-Apr-18,1425.030029,1406.079956,1438.47998,1402.569946,4208200
10-Apr-18,1431.98999,1436.219971,1438.380005,1415.699951,4254100
11-Apr-18,1439.439941,1427.050049,1448.780029,1424.890015,3582500
12-Apr-18,1439.5,1448.5,1452.119995,1435.060059,3135000
13-Apr-18,1449.140015,1430.790039,1459.780029,1424.52002,3685300
16-Apr-18,1445,1441.5,1447,1427.47998,2808600
17-Apr-18,1462.300049,1503.829956,1507.189941,1457.02002,5114400
18-Apr-18,1514.650024,1527.839966,1533.800049,1504.109985,5227500
19-Apr-18,1543.219971,1556.910034,1568.52002,1539.060059,6523700
20-Apr-18,1561.199951,1527.48999,1561.199951,1516.089966,5541600
23-Apr-18,1546.689941,1517.859985,1548,1503.410034,4465400
24-Apr-18,1535.800049,1460.089966,1539.5,1448.449951,7494700
25-Apr-18,1458,1460.170044,1469.98999,1415.02002,6587300
26-Apr-18,1485.01001,1517.959961,1529.420044,1478.5,8801100
27-Apr-18,1634.01001,1572.619995,1638.099976,1567.390015,13053200
30-Apr-18,1582.5,1566.130005,1596,1560.939941,5464100
1-May-18,1563.219971,1582.26001,1585,1552.180054,4572100
2-May-18,1580.97998,1569.680054,1588.5,1566.359985,4360300
3-May-18,1560.01001,1572.079956,1574.800049,1546.02002,4251900
4-May-18,1562.449951,1580.949951,1584.900024,1562.189941,3443600
7-May-18,1589.339966,1600.140015,1606.949951,1587.829956,3801900
8-May-18,1595,1592.390015,1596.880005,1582.51001,3067900
9-May-18,1600,1608,1608,1592,3637300
10-May-18,1608.47998,1609.079956,1615.599976,1603.439941,2817500
11-May-18,1610.98999,1602.910034,1611.099976,1597.890015,2263900
14-May-18,1604,1601.540039,1611.180054,1600.050049,2509500
15-May-18,1587.800049,1576.119995,1587.800049,1565.219971,5077500
16-May-18,1577.5,1587.280029,1594.430054,1576.670044,2570600
17-May-18,1580.560059,1581.76001,1594.040039,1573,2147600
18-May-18,1581.329956,1574.369995,1583.589966,1572.099976,2642600
21-May-18,1585,1585.459961,1592.050049,1575,2925200
22-May-18,1589.890015,1581.400024,1589.890015,1575.25,2115600
23-May-18,1571.050049,1601.859985,1601.859985,1566.339966,3361900
24-May-18,1598.030029,1603.069946,1608.23999,1588.380005,3430000
25-May-18,1603,1610.150024,1614.119995,1600.449951,2698400
29-May-18,1600.709961,1612.869995,1621.790039,1600.150024,3846500
30-May-18,1618.099976,1624.890015,1626,1612.930054,2907400
31-May-18,1623,1629.619995,1635,1621.349976,3166300
1-Jun-18,1637.030029,1641.540039,1646.72998,1635.089966,3313400
4-Jun-18,1648.900024,1665.27002,1665.680054,1645.48999,3187700
5-Jun-18,1672.98999,1696.349976,1699,1670.060059,4782200
6-Jun-18,1704.51001,1695.75,1714.5,1686.469971,5473200
7-Jun-18,1698.560059,1689.300049,1699.900024,1676.109985,3765700
8-Jun-18,1681.119995,1683.98999,1689.439941,1673.01001,2955100
11-Jun-18,1681.51001,1689.119995,1694.23999,1680.589966,2335500
12-Jun-18,1693,1698.75,1699.51001,1691.52002,2259200
13-Jun-18,1702.810059,1704.859985,1713.75,1700.119995,3327500
14-Jun-18,1713.47998,1723.859985,1724.800049,1708.869995,3174400
15-Jun-18,1714,1715.969971,1720.869995,1708.52002,4777600
18-Jun-18,1706.26001,1723.790039,1726.73999,1702.560059,3107700
19-Jun-18,1709.040039,1734.780029,1736.109985,1700.390015,4290100
20-Jun-18,1742.5,1750.079956,1762.930054,1741.359985,4332600
21-Jun-18,1760,1730.219971,1763.099976,1717.560059,4941100
22-Jun-18,1742.619995,1715.670044,1743,1711.900024,4075100
25-Jun-18,1702.51001,1663.150024,1705,1646.310059,7511200
26-Jun-18,1672.369995,1691.089966,1701.569946,1663.339966,4386600
27-Jun-18,1708.109985,1660.51001,1711.949951,1660,4872200
28-Jun-18,1672.540039,1701.449951,1705.5,1661.170044,4529700
29-Jun-18,1717,1699.800049,1723.410034,1694.319946,4543500
2-Jul-18,1682.699951,1713.780029,1713.890015,1678.060059,3185700
3-Jul-18,1723.959961,1693.959961,1725,1692.47998,2177300
5-Jul-18,1705.380005,1699.72998,1710.689941,1682.150024,2983100
6-Jul-18,1696,1710.630005,1715.27002,1691.670044,2650300
9-Jul-18,1724.050049,1739.02002,1739.560059,1716.22998,3012000
10-Jul-18,1738.530029,1743.069946,1750,1731,3002900
11-Jul-18,1737.98999,1755,1756.959961,1734,3209800
12-Jul-18,1764.51001,1796.619995,1798,1762.180054,4532700
13-Jul-18,1803.930054,1813.030029,1815.300049,1795.22998,4383200
16-Jul-18,1821.949951,1822.48999,1841.949951,1814.449951,5466200
17-Jul-18,1811.560059,1843.930054,1851.689941,1797.380005,5682900
18-Jul-18,1848,1842.920044,1858.880005,1831.27002,4861900
19-Jul-18,1829.459961,1812.969971,1841,1811.27002,4676900
20-Jul-18,1825.01001,1813.699951,1834.839966,1810.060059,3884400
23-Jul-18,1812.209961,1802,1819,1769.98999,3888500
24-Jul-18,1829.01001,1829.23999,1840,1809.380005,4278700
25-Jul-18,1829.300049,1863.609985,1863.839966,1822.640015,3738200
26-Jul-18,1839,1808,1844.680054,1804.5,9924400
27-Jul-18,1876.050049,1817.27002,1880.050049,1806.530029,9681000
30-Jul-18,1827.329956,1779.219971,1829.5,1766.02002,6562300
31-Jul-18,1786.48999,1777.439941,1801.829956,1739.319946,5738700
1-Aug-18,1784,1797.170044,1798.439941,1776.02002,4153100
